"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.500602083E-1,2.670263175E0,7.824953024E-1,6.715644121E-1,2.862447044E0
9.600182083E-1,2.499927936E0,-6.979490957E-1,-9.738397336E-1,2.772207866E0
9.699752083E-1,2.185010349E0,-1.874179674E0,-1.807147194E0,3.398911687E0
9.799332083E-1,2.579656475E0,-2.589145921E0,-1.814393356E0,4.080481268E0
9.898902083E-1,2.900584999E0,-2.904799672E0,-1.322215380E0,4.312714689E0
9.998482083E-1,2.885442465E0,-2.566289155E0,-1.003075227E-1,3.862859025E0
1.009805208E0,3.694686586E0,-2.336561262E0,1.421135505E0,4.596722052E0
1.019763208E0,4.505296617E0,-2.143325987E0,3.126434873E0,5.887795760E0
1.029720208E0,4.670993260E0,-1.489483316E0,4.303876995E0,6.523809912E0
1.039678208E0,4.197044857E0,5.902740812E-1,4.949348792E0,6.516107924E0
1.049635208E0,3.471873171E0,1.418164681E0,4.885502167E0,6.158995519E0
1.059593208E0,3.203161452E0,9.311728933E-1,4.076924336E0,5.267697627E0
1.069550208E0,3.614104938E0,1.083910352E0,2.818374317E0,4.709548805E0
1.079508208E0,3.846427095E0,9.227996805E-1,2.091189435E0,4.474330553E0
1.089465208E0,3.885506961E0,7.415099752E-1,2.559512817E0,4.711486734E0
1.099423208E0,3.481572533E0,1.529897371E0,3.199651369E0,4.969879490E0
1.109380208E0,2.074754081E0,3.884562343E0,4.172586538E0,6.066704832E0
1.119337208E0,1.293193018E0,5.489833247E0,4.885710620E0,7.461955878E0
1.129295208E0,7.977683759E-1,5.081801090E0,5.201068502E0,7.315206782E0
1.139256083E0,1.289200539E0,4.525485591E0,4.359972843E0,6.414937338E0
1.149214083E0,1.666433072E0,4.039656815E0,3.424489090E0,5.551842207E0
1.159171083E0,1.428239141E0,3.357336449E0,3.072467412E0,4.769866987E0
1.169129083E0,1.141366555E0,2.491051278E0,3.000360718E0,4.063276820E0
1.179086083E0,1.821290731E-1,9.263673592E-1,3.296269006E0,3.428806913E0
1.189044083E0,-1.917099114E0,2.663453507E-1,3.037375347E0,3.601646548E0
1.199001083E0,-4.298272439E0,1.301302960E0,2.141678973E0,4.975472256E0
1.208959083E0,-6.298875639E0,2.405013592E0,1.487176151E0,6.904463600E0
1.218916083E0,-7.672166156E0,2.969929469E0,1.244158852E0,8.320489518E0
1.228874083E0,-8.400697067E0,3.449554934E0,1.295041907E0,9.173236833E0
1.238831083E0,-8.306590224E0,3.956141326E0,1.195003064E0,9.277851457E0
1.248789083E0,-6.607286444E0,1.479422743E0,1.142493898E0,6.866601643E0
1.258746083E0,-6.020023094E0,-1.630959330E0,1.766451450E0,6.482365087E0
1.268704083E0,-4.808009603E0,-1.997832205E0,1.401968771E0,5.392013195E0
1.278661083E0,-2.847236758E0,-3.545031195E0,3.357570630E-1,4.559247321E0
1.288619083E0,-2.308416566E0,-4.708329194E0,4.976857603E-2,5.244008748E0
1.298576083E0,-1.724640642E0,-4.490789967E0,-1.549804509E0,5.054055193E0
1.308534083E0,-2.541370661E0,-2.606526185E0,-4.875376251E0,6.084557271E0
1.318491083E0,-1.321773477E0,-2.266652098E0,-5.470469608E0,6.067193304E0
1.328449083E0,-1.660048790E0,-2.877464816E0,-5.295774100E0,6.251462954E0
1.338406083E0,-2.414253947E0,-3.077107177E0,-3.997954180E0,5.592928422E0
1.348364083E0,-1.553594382E0,-4.771222430E0,-3.014759486E0,5.853801649E0
1.358321083E0,-8.381229347E-1,-6.458053222E0,-2.197153847E0,6.872873234E0
1.368279083E0,9.393885237E-1,-6.786253928E0,-2.522717459E0,7.300670966E0
1.378236083E0,3.653617790E0,-6.860955616E0,-4.577001607E0,9.020564208E0
1.388193083E0,5.276344972E0,-6.781656262E0,-7.165899022E0,1.118842199E1
1.398151083E0,3.961905511E0,-5.487996052E0,-8.896835069E0,1.117892974E1
1.408108083E0,1.008136869E0,-4.346294451E0,-8.882836250E0,9.940392107E0
1.418066083E0,-1.735074998E-1,-3.644732946E0,-8.429372982E0,9.185233365E0
1.428023083E0,-3.088994859E-1,-3.860960642E0,-7.162160897E0,8.142418847E0
1.437981083E0,4.311209111E-1,-3.151735483E0,-6.480320588E0,7.218992778E0
1.447938083E0,1.169238186E0,-3.288758550E0,-5.133319738E0,6.207577810E0
1.457896083E0,2.331594637E0,-4.125798288E0,-3.697935299E0,6.011095619E0
1.467853083E0,3.400164380E0,-3.746402285E0,-3.232360108E0,6.003732153E0
1.477811083E0,3.200367653E0,-3.553970418E0,-3.115116418E0,5.707627278E0
1.487768083E0,2.276529214E0,-3.826966977E0,-3.009482959E0,5.374499901E0
1.497726083E0,9.430038571E-1,-4.053452735E0,-3.243290309E0,5.276236100E0
1.507683083E0,-2.676019174E-1,-3.597450314E0,-3.575855377E0,5.079370160E0
1.517641083E0,-6.781360978E-1,-2.248821014E0,-4.543178388E0,5.114443703E0
1.527598083E0,-7.364421934E-1,-1.119622222E0,-3.633439341E0,3.872697054E0
1.537556083E0,-3.222637358E-1,-5.593215528E-1,-1.527545328E0,1.658339303E0
1.547513083E0,6.482854772E-1,-4.358488235E-1,5.020355040E-1,9.285892009E-1
1.557471083E0,1.820751033E0,-1.569322515E-1,1.642645429E0,2.457243591E0
1.567428083E0,2.249874097E0,-2.828005850E-3,2.059638444E0,3.050254411E0
1.577386083E0,1.084262062E0,1.637749556E-1,2.267933807E0,2.519120920E0
1.587343083E0,-8.252029270E-1,1.020903388E0,1.684230827E0,2.135377502E0
1.597301083E0,-2.002722524E0,1.714129980E0,6.380054873E-1,2.712229728E0
1.607258083E0,-2.628149481E0,1.964582891E0,2.339049983E-1,3.289599851E0
1.617216083E0,-2.387512583E0,2.050391657E0,3.844643694E-1,3.170510233E0
1.627173083E0,-1.919934137E0,2.025304471E0,8.170630181E-1,2.907850970E0
1.637131083E0,-6.663111274E-1,2.103576469E0,1.490495031E0,2.662814285E0
