Time (s),Acceleration (m/s²)
18.44489171,-0.07527588487
18.48475671,-0.05581752062
18.52462071,-0.02603238881
18.56448571,-0.03277188957
18.60434971,-0.07094543695
18.64421371,-0.1040248901
18.68407871,-0.05193204582
18.72394271,-0.09878578484
18.76380671,-0.08022496819
18.80367171,-0.04519780755
18.84353571,0.002252932191
18.88339971,-0.05552399039
18.92326471,-0.08501559198
18.96312871,-0.09848933101
19.00299217,-0.05942115963
19.04285717,-0.07843045771
19.08272117,-0.1182476574
19.12258517,-0.05941823602
19.16245017,-0.01600967646
19.20231417,-0.1154041564
19.24217817,-0.06331072748
19.28204317,-0.1257280004
19.32190717,-0.09668780386
19.36177117,-0.06585251212
19.40163617,-0.02213931262
19.44150017,-0.1091067052
19.48136417,-0.05297401965
19.52122917,-0.08830055773
19.56109317,-0.04938265979
19.60095817,-0.0338138634
19.64082217,-0.09593409777
19.68068617,-0.04429207385
19.72055017,-0.07362989366
19.76041517,-0.08680250108
19.80027917,-0.05251793683
19.84014417,-0.09577622294
19.88000817,-0.03919388652
19.91987217,-0.02497462749
19.95973717,-0.09487399757
19.99960192,-0.07077294409
20.03946592,-0.06104083836
20.07933092,-0.09501900852
20.11919492,-0.06238452852
20.15905892,-0.07331122041
20.19892392,-0.01972148895
20.23878792,-0.08408413053
20.27865192,-0.01283054531
20.31851692,-0.02375782192
20.35838092,-0.04980132043
20.39824492,-0.07180029988
20.43810992,-0.08377539754
20.47797392,-0.06042161822
20.51783792,-0.04844769001
20.55770292,-0.1008369881
20.59756692,-0.08033255696
20.63743092,-0.08017994463
20.67729592,-0.08856075883
20.71715992,-0.07134714067
20.75702392,-0.06071865678
20.79688892,-0.0542797029
20.83675292,-0.04380441606
20.87661692,-0.05128592849
20.91648192,-0.0590679878
20.95634592,-0.1143019563
20.99620958,-0.06700090528
21.03607358,-0.04664382398
21.07593858,-0.04409736156
21.11580258,-0.06550343335
21.15566658,-0.09095110059
21.19553158,-0.0607110554
21.23539558,-0.05726470649
21.27525958,-0.04214439154
21.31512458,-0.09423665106
21.35498858,-0.08285738468
21.39485258,-0.00382174015
21.43471758,-0.01444554627
21.47458158,-0.04931950986
21.51444558,-0.07117055476
21.55431058,-0.05365755916
21.59417458,-0.09122942805
21.63403858,-0.07461281061
21.67390358,-0.0174317193
21.71376758,-0.06847440362
21.75363158,-0.118910147
21.79349658,-0.005747812986
21.83336058,-0.0671155107
21.87322458,-0.1019976604
21.91308958,-0.02311404347
21.95295358,-0.07700373709
21.99281754,-0.05605433285
22.03268154,-0.06997246027
22.07254654,-0.05052052796
22.11241054,-0.09482312679
22.15227454,-0.04527674496
22.19213954,-0.04453005552
22.23200354,-0.09348411441
22.27186754,-0.04244026065
22.31173254,-0.06054733336
22.35159654,-0.04513056457
22.39146054,-0.03165857971
22.43132554,0.1141370648
22.47118954,0.498986181
22.51105354,0.8272523761
22.55091854,0.8631770843
22.59078254,0.8479117584
22.63064654,0.7555549872
22.67051054,0.6720304352
22.71037554,0.6497274005
22.75023954,0.6875992316
22.79010354,0.7260704023
22.82996854,0.7631943744
22.86983254,0.7375970185
22.90969654,0.690145694
22.94956154,0.6178454572
22.98942533,0.5867125422
23.02928933,0.5421076423
23.06915433,0.4389703596
23.10901833,0.2285056794
23.14888233,-0.03509206474
23.18874733,-0.1746037066
23.22861133,-0.1476603216
23.26847533,-0.0325532037
23.30833933,0.08120963931
23.34820433,0.06653955996
23.38806833,0.005015741587
23.42793233,-0.1359904486
23.46779733,-0.1714649212
23.50766133,-0.1189253497
23.54752533,-0.001120911241
23.58739033,0.03809753358
23.62725433,-0.01205111146
23.66711833,-0.07776329041
23.70698333,-0.1252146149
23.74684733,-0.1138388568
23.78671133,-0.06519060731
23.82657533,-0.01444554627
23.86644033,-0.0277701813
23.90630433,-0.08016298771
23.94616833,-0.1139949775
23.98603333,-0.0969328022
24.02589708,-0.04843248725
24.06576108,-0.03271634102
24.10562608,-0.02763101757
24.14549008,-0.05577483594
24.18535408,-0.1030782259
24.22521808,-0.08122542679
24.26508308,-0.1102632844
24.30494708,-0.05323363602
24.34481108,-0.03182697952
24.38467608,-0.06609926462
24.42454008,-0.09842559636
24.46440408,-0.126266529
24.50426908,-0.0425852716
24.54413308,-0.004414063096
24.58399708,-0.03360453308
24.62386108,-0.05246589661
24.66372608,-0.08584940493
24.70359008,-0.1163823956
24.74345408,-0.09377881408
24.78331908,-0.02327308774
24.82318308,-0.02507052183
24.86304708,-0.06084378719
24.90291208,-0.08973546445
24.94277608,-0.1196708697
24.98264008,-0.08569211483
25.02250779,-0.02671534359
25.06237279,-0.01024841487
25.10223679,-0.03868693292
25.14210079,-0.07147285581
25.18196579,-0.09093706727
25.22182979,-0.08974306583
25.26169379,-0.06475031197
25.30155879,-0.03241988719
25.34142279,-0.0512835896
25.38128679,-0.0611665535
25.42115179,-0.08062842607
25.46101579,-0.08466709793
25.50088079,-0.06715410233
25.54074479,-0.04396404505
25.58060879,-0.04785770595
25.62047379,-0.05819324434
25.66033779,-0.07885496557
25.70020179,-0.09233279765
25.74006679,-0.07391991556
25.77993079,-0.04577434301
25.81979579,-0.06658575296
25.85965979,-0.07438593864
25.89952379,-0.08114064217
25.93938879,-0.08515943348
25.97925279,-0.06494970202
26.01911321,-0.04463764429
26.05897821,-0.1213642234
26.09884221,-0.07915317357
26.13870721,-0.02457175434
26.17857121,1.484959472
