"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.854058420E-1,-9.154703468E-3,-1.430737972E-2,-1.657962799E-2,2.373591739E-2
9.903175090E-1,-1.151699200E-2,-1.652270555E-2,-2.196311951E-3,2.025992818E-2
9.952283420E-1,4.442073405E-4,-6.907701492E-3,-2.117156982E-2,2.227440300E-2
1.000138290E0,2.812802792E-3,2.627015114E-3,-2.574443817E-2,2.603054292E-2
1.005049176E0,-1.858346164E-2,2.117156982E-4,-1.603317261E-2,2.454490770E-2
1.009960842E0,-9.000074118E-3,-6.872653961E-3,-8.776664734E-3,1.432705659E-2
1.014871676E0,5.070827901E-4,2.662003040E-3,-8.705139160E-3,9.117172859E-3
1.019781676E0,-8.999217302E-3,-2.068817616E-3,-1.337718964E-2,1.625469535E-2
1.024692561E0,-1.135915145E-2,-9.134590626E-3,9.803771973E-4,1.460931919E-2
1.029604176E0,-8.951138705E-3,1.234829426E-2,-1.089668274E-2,1.874409107E-2
1.034515009E0,-4.133753479E-3,-1.151537895E-2,1.064300537E-3,1.228106697E-2
1.039425009E0,2.958733588E-3,7.554471493E-3,1.055049896E-2,1.330928895E-2
1.044335895E0,6.133392453E-4,3.498792648E-4,-1.565361023E-2,1.566952819E-2
1.049247509E0,-6.460774690E-3,5.075931549E-3,-1.789951324E-2,1.969515842E-2
1.054158342E0,-8.786577731E-3,1.456987858E-2,1.246452332E-3,1.705986382E-2
1.059068342E0,3.092974424E-3,2.617418766E-3,3.611564636E-3,5.427777714E-3
1.063979228E0,6.322599947E-4,-6.920516491E-3,-8.291244507E-3,1.081841193E-2
1.068890842E0,-1.837167516E-2,2.993345261E-4,1.277923584E-3,1.841849989E-2
1.073801676E0,7.065385580E-4,5.143940449E-3,1.076984406E-2,1.195612232E-2
1.078711676E0,-1.123447716E-2,3.335475922E-4,-1.306343079E-2,1.723304834E-2
1.083622561E0,-6.398063153E-3,3.704428673E-4,-5.829811096E-3,8.663667667E-3
1.088534176E0,-8.783318102E-3,-4.341304302E-3,1.342773438E-3,9.889218394E-3
1.093445061E0,-1.711025834E-3,5.418062210E-4,-8.159637451E-3,8.354690103E-3
1.098355009E0,5.361273885E-3,1.001453400E-2,-1.521492004E-2,1.898757333E-2
1.103265895E0,2.881672233E-3,1.234471798E-2,-1.033878326E-2,1.635807251E-2
1.108177561E0,-6.644431502E-3,-1.151889563E-2,-5.504608154E-3,1.439215541E-2
1.113088395E0,-9.082902223E-3,5.235552788E-3,8.789062500E-3,1.368056086E-2
1.117998342E0,-1.890275627E-3,5.231559277E-3,-1.977252960E-2,2.054008961E-2
1.122909280E0,-1.938939095E-3,4.204511642E-4,-1.486015320E-2,1.499201178E-2
1.127820895E0,1.225769147E-2,-9.039998055E-3,9.007453918E-3,1.769482385E-2
1.132731728E0,-4.531543702E-3,-8.924782276E-3,-7.685661316E-3,1.261966786E-2
1.137641728E0,-2.111830190E-2,-4.062414169E-3,-1.948928833E-2,2.902271944E-2
1.142552613E0,-6.702933460E-3,7.004737854E-4,-1.457881927E-2,1.606119398E-2
1.147464228E0,-9.026717395E-3,-6.506085396E-3,-1.683807373E-2,2.018245528E-2
1.152375061E0,-1.139004901E-2,3.084421158E-3,-1.906967163E-2,2.242541519E-2
1.157285061E0,1.481498778E-2,-4.024088383E-3,-1.178455353E-2,1.935336798E-2
1.162195947E0,1.468603313E-2,5.545675755E-3,-2.187728882E-3,1.584992891E-2
1.167107561E0,-2.060886472E-3,-3.957450390E-3,7.328987122E-3,8.580368225E-3
1.172018395E0,-9.230554104E-3,-6.259024143E-3,-2.225875854E-3,1.137246832E-2
1.176928395E0,-2.150863409E-3,-1.566404104E-2,-6.954193115E-3,1.727278776E-2
1.181839280E0,-9.316142648E-3,3.557980061E-3,-9.263992310E-3,1.361143965E-2
1.186750947E0,2.567805350E-3,-1.180350780E-3,-9.184837341E-3,9.609791323E-3
1.191661780E0,2.540908754E-3,3.676354885E-3,2.768516541E-3,5.257041599E-3
1.196571728E0,-2.234064043E-3,-1.062929630E-3,3.738403320E-4,2.502122727E-3
1.201482665E0,1.531951129E-4,-5.762755871E-3,-6.749153137E-3,8.876029069E-3
1.206394280E0,-9.409077466E-3,-5.675077438E-3,-4.316329956E-3,1.180542024E-2
1.211305113E0,-4.643145949E-3,-3.155291080E-3,-2.089405060E-2,2.163506451E-2
1.216215113E0,-7.042996585E-3,6.407260895E-3,6.484985352E-4,9.543445050E-3
1.221125999E0,-4.615660757E-3,1.120066643E-2,6.484985352E-4,1.213176834E-2
1.226037613E0,-2.120172232E-2,6.398737431E-3,-4.101753235E-3,2.252290500E-2
1.230948447E0,-9.100899100E-3,1.636803150E-3,-4.064559937E-3,1.010079880E-2
1.235858447E0,4.660189152E-4,-1.020801067E-2,-6.402969360E-3,1.205896646E-2
1.240769332E0,-4.350561649E-3,-1.245743036E-2,7.743835449E-4,1.321796610E-2
1.245680947E0,2.743721008E-3,-2.817392349E-3,-3.977775574E-3,5.593603770E-3
1.250591832E0,-1.627782732E-2,-2.754271030E-3,-8.689880371E-3,1.865657236E-2
1.255501780E0,-4.218045622E-3,4.430711269E-3,-3.866195679E-3,7.236752051E-3
1.260412665E0,-6.562538445E-3,6.807565689E-3,9.164810181E-4,9.499989416E-3
1.265324332E0,5.501620471E-4,-3.908872604E-4,1.277828217E-2,1.279609183E-2
1.270235165E0,-1.133064553E-2,1.967310905E-3,7.991790771E-4,1.152790213E-2
1.275145165E0,-8.867580444E-3,-3.836750984E-4,-1.582431793E-2,1.814360018E-2
1.280056051E0,-1.673106104E-3,6.722450256E-3,-1.094436646E-2,1.295259737E-2
1.284967665E0,-4.038807005E-3,-2.849400043E-3,-1.085376740E-2,1.192624456E-2
1.289878499E0,-6.447341293E-3,1.134121418E-2,-1.789093018E-2,2.214219346E-2
1.294788499E0,-8.832152933E-3,-1.008099318E-2,1.075077057E-2,1.718174661E-2
1.299699384E0,7.914341986E-4,1.854538918E-3,1.162528992E-3,2.327478538E-3
1.304610999E0,-6.284177303E-3,4.252851009E-3,-3.591537476E-3,8.395044224E-3
1.309521884E0,8.887648582E-4,4.197895527E-3,1.780414581E-2,1.831392470E-2
1.314431832E0,-3.931324929E-3,1.828372478E-3,3.413200378E-3,5.517988623E-3
1.319342717E0,7.853172719E-4,1.366460323E-2,5.756378174E-3,1.484836673E-2
1.324254384E0,-1.358943060E-2,6.467938423E-3,-1.328182220E-2,2.007270915E-2
1.329165217E0,7.042735815E-4,-7.791221142E-3,3.449440002E-3,8.549723065E-3
1.334075217E0,-4.051741213E-3,-2.938628197E-3,-1.082134247E-2,1.192281826E-2
1.338986103E0,7.284544408E-4,6.621837616E-3,8.263587952E-3,1.061443664E-2
1.343897717E0,-1.115383953E-2,4.232168198E-3,5.824089050E-3,1.327551871E-2
1.348808551E0,-4.058130085E-3,-7.634460926E-3,-1.321506500E-2,1.579212957E-2
1.353718551E0,-1.590054855E-2,4.339516163E-3,1.776027679E-2,2.422986332E-2
1.358629436E0,-8.710004389E-3,1.146543026E-2,1.286697388E-2,1.931008245E-2
1.363541103E0,-1.344648376E-2,8.976221085E-3,1.038360596E-2,1.921457112E-2
1.368451936E0,-1.333628967E-2,-5.362987518E-3,1.741790771E-2,2.258321869E-2
1.373361884E0,8.081402630E-3,-5.306005478E-4,-1.121425629E-2,1.383293712E-2
1.378272770E0,-6.295230240E-3,1.613253355E-2,-3.996849060E-3,1.777254526E-2
1.383184436E0,-6.248269230E-3,6.541192532E-3,1.028442383E-2,1.369662154E-2
1.388095270E0,-1.094634831E-2,-5.285799503E-3,1.732540131E-2,2.116439813E-2
1.393005270E0,-3.793451935E-3,-2.828121185E-3,-8.932113647E-3,1.010797711E-2
1.397916155E0,-3.708433360E-3,9.046912193E-3,6.370544434E-4,9.798210887E-3
1.402827770E0,1.050294563E-2,-4.854202271E-4,-8.862495422E-3,1.375104814E-2
1.407738603E0,-1.464471221E-3,8.996188641E-3,2.444839478E-2,2.609214620E-2
1.412648603E0,-1.095434651E-2,-7.658123970E-3,1.000404358E-2,1.669507287E-2
1.417559488E0,-6.116624922E-3,4.315912724E-3,-6.696701050E-3,1.004420271E-2
1.422471155E0,-1.562666520E-2,1.381617785E-2,2.858161926E-3,2.105346825E-2
1.427381988E0,-1.315969974E-3,1.869976521E-3,5.209922791E-3,5.689629570E-3
1.432291988E0,5.756683648E-3,-1.235109568E-2,1.466560364E-2,2.001921330E-2
1.437202874E0,-1.334886998E-2,4.410505295E-3,7.422447205E-3,1.589772340E-2
1.442114488E0,-1.427683979E-3,-9.772777557E-3,2.618789673E-3,1.021780417E-2
1.447025322E0,-1.480199397E-3,4.593193531E-3,9.721755981E-3,1.085361490E-2
1.451935322E0,-1.334408671E-2,-1.537203789E-4,1.439094543E-2,1.962619654E-2
1.456846207E0,1.006480306E-3,-1.441657543E-2,2.399444580E-3,1.464950457E-2
1.461757874E0,-3.755696118E-3,2.362310886E-3,1.662635803E-2,1.720818257E-2
1.466668707E0,5.766693503E-3,1.187878847E-2,9.368896484E-3,1.619063281E-2
1.471578655E0,9.648352861E-4,2.322912216E-3,-2.577781677E-3,3.601636665E-3
1.476489592E0,-1.481764019E-3,-4.779279232E-3,2.194404602E-3,5.463748360E-3
1.481401207E0,5.592253059E-3,9.544849396E-3,2.178192139E-3,1.127483770E-2
1.486312040E0,3.107089549E-3,1.187908649E-2,2.161979675E-3,1.246759229E-2
1.491222040E0,-1.672606915E-3,2.323210239E-3,1.639175415E-2,1.663984747E-2
